question,context,company,source_file,source_page,kpi_id,year,answer,data_type,relevant_paragraphs,annotator,Index,label
What is the company name?,"The company does not provide for any extra payments or compensations in the event of early termination of office of members of the board of directors resulting from the change of control or any other reasons whatsoever. Remuneration of executive body members and other key managers is linked to the company's results and their personal contribution thereto. Remuneration due to members of executive bodies and other key executives of the company is determined in a manner providing for reasonable and justified ratio of the fixed and variable parts of remuneration, depending on the company’s performance and the employee’s personal contribution. ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['0'],0.0,2018,PAO NOVATEK,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2018""]",train_anno_large.xlsx,1030,0
What is the company name?,"In 2018, our liquids sales revenues increased to RR 450.6 billion, or by 35.6% as compared to 2017, mainly driven by higher global benchmark prices. ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['2'],0.0,2018,NOVATEK,TEXT,"[""About the Company NOVATEK is one of the largest independent natural gas producers in Russia""]",train_anno_large.xlsx,1032,0
What is the company name?,PAO NOVATEK ANNUAL REPORT 2018,NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['0'],0.0,2018,PAO NOVATEK,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2018""]",train_anno_large.xlsx,1030,1
What is the company name?,About the Company NOVATEK is one of the largest independent natural gas producers in Russia,NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['2'],0.0,2018,NOVATEK,TEXT,"[""About the Company NOVATEK is one of the largest independent natural gas producers in Russia""]",train_anno_large.xlsx,1032,1
In which year was the annual report or the sustainability report published?,About the Company .................................................................................................................................. 2 Key Events and Achievements .................................................................................................................. 3 Key Indicators ............................................................................................................................................ 5 Letter to Shareholders .............................................................................................................................. 6 ,NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['0'],1.0,2018,2018,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2018""]",train_anno_large.xlsx,1031,0
In which year was the annual report or the sustainability report published?,PAO NOVATEK ANNUAL REPORT 2018,NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['0'],1.0,2018,2018,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2018""]",train_anno_large.xlsx,1031,1
What is the volume of estimated proven hydrocarbons reserves?,Liquid hydrocarbons production Proportionate share in LNG production of JVs(4) Total production ,NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['8'],2.1,2018,"15,789 million barrels of oil equivalent (boe)",TEXT,"[""Our total SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 15,789 million barrels of oil equivalent (boe), including 2,177 bcm of natural gas and 181 million metric tons (mmt) of liquid hydrocarbons.""]",train_anno_large.xlsx,1039,0
What is the volume of estimated proven hydrocarbons reserves?,"1. The company has in place an internal document (internal documents) – the policy (policies) on remuneration of members of the board of directors, executive bodies and other key executives, which clearly defines (define) the approaches to remuneration of the above persons. ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['12'],2.1,2018,"15,789 million barrels of oil equivalent (mmboe)",TEXT,"[""As of 31 December 2018, NOVATEK's SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 15,789 million barrels of oil equivalent (mmboe), including 2,177 bcm of natural gas and 181 mmt of liquid hydrocarbons.""]",train_anno_large.xlsx,1040,0
What is the volume of estimated proven hydrocarbons reserves?,"Our total SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 15,789 million barrels of oil equivalent (boe), including 2,177 bcm of natural gas and 181 million metric tons (mmt) of liquid hydrocarbons.",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['8'],2.1,2018,"15,789 million barrels of oil equivalent (boe)",TEXT,"[""Our total SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 15,789 million barrels of oil equivalent (boe), including 2,177 bcm of natural gas and 181 million metric tons (mmt) of liquid hydrocarbons.""]",train_anno_large.xlsx,1039,1
What is the volume of estimated proven hydrocarbons reserves?,"As of 31 December 2018, NOVATEK's SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 15,789 million barrels of oil equivalent (mmboe), including 2,177 bcm of natural gas and 181 mmt of liquid hydrocarbons.",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['12'],2.1,2018,"15,789 million barrels of oil equivalent (mmboe)",TEXT,"[""As of 31 December 2018, NOVATEK's SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 15,789 million barrels of oil equivalent (mmboe), including 2,177 bcm of natural gas and 181 mmt of liquid hydrocarbons.""]",train_anno_large.xlsx,1040,1
What is the total volume of hydrocarbons production?,Remuneration and Nomination Committee ,NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['9'],3.0,2018,549.1 million boe,TEXT,"[""During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids""]",train_anno_large.xlsx,1043,0
What is the total volume of hydrocarbons production?,"Moreover, the Company’s management continuously analyzes the macro-economic environment and makes prompt decisions to mitigate potential risks. ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['16'],3.0,2018,549.1 mmboe,TEXT,"[""In 2018, NOVATEK produced commercial hydrocarbons at 18 fields. The Company's production (including attributable share in the production of JV's) amounted to 549.1 mmboe, up 7.0% compared with 2017.""]",train_anno_large.xlsx,1046,0
What is the total volume of hydrocarbons production?,"During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['9'],3.0,2018,549.1 million boe,TEXT,"[""During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids""]",train_anno_large.xlsx,1043,1
What is the total volume of hydrocarbons production?,"In 2018, NOVATEK produced commercial hydrocarbons at 18 fields. The Company's production (including attributable share in the production of JV's) amounted to 549.1 mmboe, up 7.0% compared with 2017.",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['16'],3.0,2018,549.1 mmboe,TEXT,"[""In 2018, NOVATEK produced commercial hydrocarbons at 18 fields. The Company's production (including attributable share in the production of JV's) amounted to 549.1 mmboe, up 7.0% compared with 2017.""]",train_anno_large.xlsx,1046,1
What is the total volume of natural gas liquid production?,"The Audit Committee works actively with the Revision Commission, the external auditor and the ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['9'],3.2,2018,"11,800 thousand tons of liquids",TEXT,"[""During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids""]",train_anno_large.xlsx,1045,0
What is the total volume of natural gas liquid production?,"Production drilling in 2018, including production drilling at our joint ventures, reached 446,000 ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['16'],3.2,2018,"11,800 thousand tons",TEXT,"[""Production of liquid hydrocarbons including the Company's share in production of joint ventures totaled 11,800 thousand tons, of which 59.3% was gas condensate and the remaining 40.7% consisted of crude oil.""]",train_anno_large.xlsx,1048,0
What is the total volume of natural gas liquid production?,"During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['9'],3.2,2018,"11,800 thousand tons of liquids",TEXT,"[""During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids""]",train_anno_large.xlsx,1045,1
What is the total volume of natural gas liquid production?,"Production of liquid hydrocarbons including the Company's share in production of joint ventures totaled 11,800 thousand tons, of which 59.3% was gas condensate and the remaining 40.7% consisted of crude oil.",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['16'],3.2,2018,"11,800 thousand tons",TEXT,"[""Production of liquid hydrocarbons including the Company's share in production of joint ventures totaled 11,800 thousand tons, of which 59.3% was gas condensate and the remaining 40.7% consisted of crude oil.""]",train_anno_large.xlsx,1048,1
What is the total volume of natural gas production?,"The Audit Committee works actively with the Revision Commission, the external auditor and the ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['9'],3.3,2018,68.8 bcm,TEXT,"[""During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids""]",train_anno_large.xlsx,1044,0
What is the total volume of natural gas production?,"customers and traders were located primarily in the following regions: the Chelyabinsk, the ",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['16'],3.3,2018,68.81 bcm,TEXT,"[""Total natural gas production including the Company's share in production of joint ventures aggregated 68.81 bcm, representing approximately 82.0% of our total hydrocarbon output.""]",train_anno_large.xlsx,1047,0
What is the total volume of natural gas production?,"During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['9'],3.3,2018,68.8 bcm,TEXT,"[""During the past year, NOVATEK's hydrocarbon production totaled 549.1 million boe, including 68.8 bcm of natural gas and 11,800 thousand tons of liquids""]",train_anno_large.xlsx,1044,1
What is the total volume of natural gas production?,"Total natural gas production including the Company's share in production of joint ventures aggregated 68.81 bcm, representing approximately 82.0% of our total hydrocarbon output.",NOVATEK,04_NOVATEK_AR_2018_ENG_15.pdf,['16'],3.3,2018,68.81 bcm,TEXT,"[""Total natural gas production including the Company's share in production of joint ventures aggregated 68.81 bcm, representing approximately 82.0% of our total hydrocarbon output.""]",train_anno_large.xlsx,1047,1
In which year was the annual report or the sustainability report published?,Net cash provided by operating activities Net cash used in investing activities Net cash provided by / (used in) financing activities (decrease) / increase in cash and cash equivalents,MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['0'],1.0,2013,2013,TEXT,"[""Annual report 2013""]",train_anno_large.xlsx,1956,0
In which year was the annual report or the sustainability report published?,Annual report 2013,MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['0'],1.0,2013,2013,TEXT,"[""Annual report 2013""]",train_anno_large.xlsx,1956,1
What is the total volume of proven and probable hydrocarbons reserves?,"HUF million 145,067 (42,511) (96,280)",MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['3'],2.0,2013,576 MMboe,TEXT,"[""MOL Group hydrocarbon production amounted to 104 mboepd while
SPE 2P reserves reached 576 MMboe, as of 31st December 2013.""]",train_anno_large.xlsx,1957,0
What is the total volume of proven and probable hydrocarbons reserves?,"4 Estimated Current Cost of Supply-based EBITDA and operating profit/(loss) excluding special items, and impairment on inventories in Refining & Marketing.",MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['23'],2.0,2013,576 MMboe,TEXT,"[""The Group's total SPE 2P reserves stood at 576 MMboe at the end of 2013.""]",train_anno_large.xlsx,1961,0
What is the total volume of proven and probable hydrocarbons reserves?,"The incentive based on share allowance is a net incentive, that is the Company ensures to pay the taxes, contributions and other paya- bles incurred upon acquisition of the shares in line with the relevant and effective laws. Such cash-based coverage of taxes and contri- butions does not include any further tax(es) or cost(s) incurred in relation with exercising rights attached to the shares or disposal of the shares (e.g. dividend tax, income tax); these shall be borne by the respective members of the Board of Directors. In line with these, there is a cash allowance part of the incentive system. Rate of the cash allowance is the gross value of taxes, contributions and other payables incurred upon acquisition of the shares in line with the relevant and effective laws, including also the tax differ- ence and contributions incurring in the country of tax-residence in case of non-Hungarian members of the Board of Directors.",MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['26'],2.0,2013,575.7 Mmboe,TEXT,"[""MOL expanded its exploration and production activities to build a broader portfolio in the CEE region
when the Romanian Ex-6 Block was awarded to the company in a consortium in 2012. In January,
2013, MOL increased its stake in the Ex-6 Block to 100%. Exploration activities will start with 3D seismic
acquisition in 2014. The ratification process for a further 2 blocks (Ex-1 and Ex-5) is in progress.
MOL Group's 2013 annual production and divestiture of ZMB and Surgut-7 reduced SPE
proved-plus-probable figures of 575.7 MMboe by year-end.""]",train_anno_large.xlsx,1963,0
What is the total volume of proven and probable hydrocarbons reserves?,"The Upstream segment consists of a diverse portfolio of oil and gas exploration activities in 13* countries and valuable producing assets in 8* countries. MOL Group’s traditional core area is the CEE region with more than 75 years’ continuous oil and gas industry presence and accumulated experience. At the same time, increasing focus is now being placed on our international assets where we have over 2 decades of presence. Our diversified portfolio delivers presence in the world’s key oil and gas regions such as the Kurdistan Region of Iraq, the CIS countries, Pakistan and the North Sea. MOL Group hydrocarbon production amounted to 104 mboepd while SPE 2P reserves reached 576 MMboe, as of 31st December 2013. Dur- ing the year, our active portfolio management approach continued ",MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['3'],2.0,2013,576 MMboe,TEXT,"[""MOL Group hydrocarbon production amounted to 104 mboepd while
SPE 2P reserves reached 576 MMboe, as of 31st December 2013.""]",train_anno_large.xlsx,1957,1
What is the total volume of proven and probable hydrocarbons reserves?,The Group's total SPE 2P reserves stood at 576 MMboe at the end of 2013.,MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['23'],2.0,2013,576 MMboe,TEXT,"[""The Group's total SPE 2P reserves stood at 576 MMboe at the end of 2013.""]",train_anno_large.xlsx,1961,1
What is the total volume of proven and probable hydrocarbons reserves?,"MOL expanded its exploration and production activities to build a broader portfolio in the CEE region when the Romanian Ex-6 Block was awarded to the company in a consortium in 2012. In January, 2013, MOL increased its stake in the Ex-6 Block to 100%. Exploration activities will start with 3D seismic acquisition in 2014. The ratification process for a further 2 blocks (Ex-1 and Ex-5) is in progress. MOL Group's 2013 annual production and divestiture of ZMB and Surgut-7 reduced SPE proved-plus-probable figures of 575.7 MMboe by year-end.",MOL Hungarian Oil & Gas Plc ,2013_book_mol_ar_eng_fin.pdf,['26'],2.0,2013,575.7 Mmboe,TEXT,"[""MOL expanded its exploration and production activities to build a broader portfolio in the CEE region
when the Romanian Ex-6 Block was awarded to the company in a consortium in 2012. In January,
2013, MOL increased its stake in the Ex-6 Block to 100%. Exploration activities will start with 3D seismic
acquisition in 2014. The ratification process for a further 2 blocks (Ex-1 and Ex-5) is in progress.
MOL Group's 2013 annual production and divestiture of ZMB and Surgut-7 reduced SPE
proved-plus-probable figures of 575.7 MMboe by year-end.""]",train_anno_large.xlsx,1963,1
What is the company name?,M E T S Y S N O S S M S N A R T L A N O T A N,ROMGAZ,2017 Sustainability Report.pdf,['2'],0.0,2017,Romgaz S.A,TEXT,"[""This is the first sustainability report published by S.N.G.N. Romgaz S.A. The report on the activity of 2017 shows for the first time the non-financial performance and details the material topics identified by the first materiality study performed by the company.']",train_anno_large.xlsx,1324,0
What is the company name?, *Training for professional reauthorization of de gas fitter,ROMGAZ,2017 Sustainability Report.pdf,['5'],0.0,2017,ROMGAZ SA,TEXT,"[""Societatea Naţională de Gaze Naturale “ROMGAZ” SA is a Romanian legal entity, legally
established as a joint stock company, performing its activity in compliance with the Romanian
laws and with the company’s Articles of Incorporation.""]",train_anno_large.xlsx,1326,0
In which year was the annual report or the sustainability report published?,Making our employees responsible ,ROMGAZ,2017 Sustainability Report.pdf,['2'],1.0,2017,2017,TEXT,"[""This is the first sustainability report published by S.N.G.N. Romgaz S.A. The report on the activity of 2017 shows for the first time the non-financial performance and details the material topics identified by the first materiality study performed by the company.']",train_anno_large.xlsx,1325,0
What is the total volume of proven and probable hydrocarbons reserves?,"2,299,449.30 km 2,267,576.73 km 1,776,259.58 km 1,742,421.64 km",ROMGAZ,2017 Sustainability Report.pdf,['7'],2.0,2017,84.3 billion m3,TEXT,"[""Total reserves are 84.3 billion m3 (72% proved, 13% probable and 15% possible) and total contingent resources are 50.5 billion m3 as compared to 26.8 billion m3 in 2013 (+88%) according to the previous audit report.']",train_anno_large.xlsx,1327,0
What is the total volume of natural gas production?,"(electricity, natural gas)",ROMGAZ,2017 Sustainability Report.pdf,['23'],3.3,2017,5.158 bcm,TEXT,"[""Our 2017 gas production was higher by 22.3% as compared to the 2016 one (5.158 bcm vs 4.219 bcm), and by 8.6% higher than the planned production.""]",train_anno_large.xlsx,1328,0
What is the total volume of natural gas production?,Installation of fuel level senzor and car fleet GPS ,ROMGAZ,2017 Sustainability Report.pdf,['23'],3.3,2016,4.219 bcm,TEXT,"[""Our 2017 gas production was higher by 22.3% as compared to the 2016 one (5.158 bcm vs 4.219 bcm), and by 8.6% higher than the planned production.""]",train_anno_large.xlsx,1329,0
What is the total volume of natural gas production?,Total number of employees in management positions:,ROMGAZ,2017 Sustainability Report.pdf,['23'],3.3,2017,5.158 bcm,TEXT,"[""The 2017 gas production of 5.158 bcm has brought us a market share of 50.53% in deliveries in gas consumption from domestic production, and a market share of 46.27% in deliveries in the total consumption of Romania.""]",train_anno_large.xlsx,1330,0
What is the total volume of natural gas production?,"Production We are one of the main gas producers in Romania. Our 2017 gas production was higher by 22.3% as compared to the 2016 one (5.158 bcm vs 4.219 bcm), and by 8.6% higher than the planned production.",ROMGAZ,2017 Sustainability Report.pdf,['23'],3.3,2017,5.158 bcm,TEXT,"[""Our 2017 gas production was higher by 22.3% as compared to the 2016 one (5.158 bcm vs 4.219 bcm), and by 8.6% higher than the planned production.""]",train_anno_large.xlsx,1328,1
What is the total volume of natural gas production?,"Production We are one of the main gas producers in Romania. Our 2017 gas production was higher by 22.3% as compared to the 2016 one (5.158 bcm vs 4.219 bcm), and by 8.6% higher than the planned production.",ROMGAZ,2017 Sustainability Report.pdf,['23'],3.3,2016,4.219 bcm,TEXT,"[""Our 2017 gas production was higher by 22.3% as compared to the 2016 one (5.158 bcm vs 4.219 bcm), and by 8.6% higher than the planned production.""]",train_anno_large.xlsx,1329,1
What is the total volume of natural gas production?,"The 2017 gas production of 5.158 bcm has brought us a market share of 50.53% in deliveries in gas consumption from domestic production, and a market share of 46.27% in deliveries in the total consumption of Romania.",ROMGAZ,2017 Sustainability Report.pdf,['23'],3.3,2017,5.158 bcm,TEXT,"[""The 2017 gas production of 5.158 bcm has brought us a market share of 50.53% in deliveries in gas consumption from domestic production, and a market share of 46.27% in deliveries in the total consumption of Romania.""]",train_anno_large.xlsx,1330,1
What is the company name?,"Our customers, employees, partners, the environment and local communities are all affected by our operations and activities. We believe that the hallmark of a truly sustainable company is the way we interact with its stakeholders and the community in which we operate.",Teekay Corp,2017-Sustainability-Report.pdf,['0'],0.0,2017,TEEKAY CORPORATION,TEXT,"[""TEEKAY CORPORATION 2017 Sustainability Report""]",train_anno_large.xlsx,79,0
What is the company name?,TEEKAY CORPORATION 2017 Sustainability Report,Teekay Corp,2017-Sustainability-Report.pdf,['0'],0.0,2017,TEEKAY CORPORATION,TEXT,"[""TEEKAY CORPORATION 2017 Sustainability Report""]",train_anno_large.xlsx,79,1
In which year was the annual report or the sustainability report published?,It’s no secret that Teekay employees spend many hours volunteering with charities and raising funds for great ,Teekay Corp,2017-Sustainability-Report.pdf,['0'],1.0,2017,2017,TEXT,"[""TEEKAY CORPORATION 2017 Sustainability Report""]",train_anno_large.xlsx,80,0
In which year was the annual report or the sustainability report published?,TEEKAY CORPORATION 2017 Sustainability Report,Teekay Corp,2017-Sustainability-Report.pdf,['0'],1.0,2017,2017,TEXT,"[""TEEKAY CORPORATION 2017 Sustainability Report""]",train_anno_large.xlsx,80,1
"What is the total amount of scope 1, scope 2 and scope 3 greenhouse gases emissions?","Innovation, Technology and Projects",Teekay Corp,2017-Sustainability-Report.pdf,['20'],14.0,2017,"5,054,713.90
metric tonnes",TEXT,"[""Our voyage tonne miles in 2017 were 406,286.13 compared
to 350,401.51 in 2016, an increase of 16% from last year.
Carbon dioxide is the major component of greenhouse
gases. In 2017, our global operations created 5,054,713.90
metric tonnes of carbon dioxide compared to 4,758,734.05
metric tonnes of carbon dioxide in 2016, an increase of 6%
more than last year which is attributed to an increase in
the voyage tonne miles of the cargo. Our Energy Efficiency
Operational Indicator (EEOI) in 2017 reduced from last year
and was 12.44 grams of CO2 per tonne-mile compared to
13.58 in 2016, a reduction of 8%. International shipping
contributes to about 12% and 13% of annual global SOx
and NOx emissions respectively, which result from different
onboard combustion and energy transformation processes
for propulsion and energy production. SOx emissions in
2017 have reduced to 43,264.61 metric tonnes compared
to 46,419.50 metric tonnes in 2016, a reduction of 7%
from last year. NOx emissions in 2017 have increased to
101,706.25 metric tonnes as compared to 99,671.12 metric
tonnes in 2016, an increase of 2% from last year that can be
attributed to the increase in the number of voyages.""]",train_anno_large.xlsx,85,0
"What is the total amount of scope 1, scope 2 and scope 3 greenhouse gases emissions?",Greenhouse Gases (metric tonnes CO2 - eq.) Average Per Vessel,Teekay Corp,2017-Sustainability-Report.pdf,['20'],14.0,2016,"4,758,734.05
metric tonnes",TEXT,"[""Our voyage tonne miles in 2017 were 406,286.13 compared
to 350,401.51 in 2016, an increase of 16% from last year.
Carbon dioxide is the major component of greenhouse
gases. In 2017, our global operations created 5,054,713.90
metric tonnes of carbon dioxide compared to 4,758,734.05
metric tonnes of carbon dioxide in 2016, an increase of 6%
more than last year which is attributed to an increase in
the voyage tonne miles of the cargo. Our Energy Efficiency
Operational Indicator (EEOI) in 2017 reduced from last year
and was 12.44 grams of CO2 per tonne-mile compared to
13.58 in 2016, a reduction of 8%. International shipping
contributes to about 12% and 13% of annual global SOx
and NOx emissions respectively, which result from different
onboard combustion and energy transformation processes
for propulsion and energy production. SOx emissions in
2017 have reduced to 43,264.61 metric tonnes compared
to 46,419.50 metric tonnes in 2016, a reduction of 7%
from last year. NOx emissions in 2017 have increased to
101,706.25 metric tonnes as compared to 99,671.12 metric
tonnes in 2016, an increase of 2% from last year that can be
attributed to the increase in the number of voyages.""]",train_anno_large.xlsx,86,0
